STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,DAY_WEEK,ST_CASE,CITY
1,15,5,13,11,32,7,10347,100
1,47,5,3,12,41,4,10348,2760
1,121,5,25,11,25,5,10349,2910
1,43,5,28,7,50,1,10350,830
1,127,5,15,6,3,2,10351,780
1,111,5,27,16,45,7,10352,0
1,101,5,30,7,27,3,10353,2130
1,53,5,15,22,20,2,10354,960
1,77,5,15,17,25,2,10355,0
1,51,6,2,22,50,6,10356,0
1,21,6,3,17,40,7,10357,0
1,77,6,1,17,25,5,10358,0
1,81,6,12,13,20,2,10359,0
1,123,6,2,20,14,6,10360,0
1,55,6,7,18,58,4,10361,0
1,87,6,11,9,47,1,10362,0
1,79,6,9,19,0,6,10363,0
1,97,6,10,3,43,7,10364,2100
1,59,6,5,20,20,2,10365,0
1,39,6,12,9,20,2,10366,0
1,53,6,15,11,35,5,10367,0
1,111,6,7,19,55,4,10368,0
1,121,6,10,23,6,7,10369,2910
1,19,6,12,7,40,2,10370,0
1,97,6,14,15,45,4,10371,0
1,7,6,11,21,20,1,10372,0
1,71,6,11,7,50,1,10373,0
1,101,6,16,9,39,6,10374,0
1,117,6,10,16,50,7,10375,0
1,113,6,17,5,0,7,10376,0
1,21,6,19,19,5,2,10377,0
1,125,6,8,10,5,5,10378,0
1,89,6,16,18,15,6,10379,1730
1,125,6,16,18,10,6,10380,0
1,97,6,24,19,35,7,10381,0
1,97,6,17,21,35,7,10382,2100
1,125,6,15,17,0,5,10383,0
1,43,6,25,20,50,1,10384,0
1,33,6,28,8,55,4,10385,0
1,101,6,13,9,45,3,10386,0
1,33,6,21,0,5,4,10387,0
1,107,6,25,1,10,1,10388,2590
1,29,6,29,8,20,5,10389,0
1,73,6,10,0,30,7,10390,0
1,9,6,22,8,14,5,10391,370
1,75,6,24,17,51,7,10392,0
1,95,6,27,19,15,3,10393,0
1,89,6,30,10,1,6,10394,1730
1,103,6,7,18,45,4,10395,0
1,69,6,4,19,10,1,10396,0
1,71,6,21,15,47,4,10397,0
