STATE,COUNTY,MONTH,DAY,YEAR,HOUR,MINUTE,DAY_WEEK,ST_CASE
1.0000,15.0000,5.0000,16.0000,78.0000,23.0000,45.0000,3.0000,10289.0000
1.0000,121.0000,5.0000,8.0000,78.0000,11.0000,20.0000,2.0000,10290.0000
1.0000,93.0000,5.0000,18.0000,78.0000,11.0000,30.0000,5.0000,10291.0000
1.0000,3.0000,5.0000,21.0000,78.0000,0.0000,55.0000,1.0000,10292.0000
1.0000,97.0000,5.0000,18.0000,78.0000,1.0000,10.0000,5.0000,10294.0000
1.0000,11.0000,5.0000,20.0000,78.0000,18.0000,40.0000,7.0000,10295.0000
1.0000,75.0000,5.0000,21.0000,78.0000,18.0000,40.0000,1.0000,10296.0000
1.0000,95.0000,5.0000,21.0000,78.0000,1.0000,30.0000,1.0000,10297.0000
1.0000,55.0000,5.0000,10.0000,78.0000,16.0000,55.0000,4.0000,10298.0000
1.0000,49.0000,5.0000,20.0000,78.0000,4.0000,35.0000,7.0000,10299.0000
1.0000,83.0000,5.0000,8.0000,78.0000,10.0000,40.0000,2.0000,10300.0000
1.0000,21.0000,5.0000,18.0000,78.0000,12.0000,45.0000,5.0000,10301.0000
1.0000,97.0000,5.0000,24.0000,78.0000,21.0000,53.0000,4.0000,10302.0000
1.0000,13.0000,5.0000,20.0000,78.0000,19.0000,0.0000,7.0000,10303.0000
1.0000,33.0000,5.0000,18.0000,78.0000,21.0000,15.0000,5.0000,10304.0000
1.0000,29.0000,5.0000,29.0000,78.0000,16.0000,25.0000,2.0000,10305.0000
1.0000,59.0000,5.0000,16.0000,78.0000,21.0000,0.0000,3.0000,10306.0000
1.0000,129.0000,5.0000,15.0000,78.0000,12.0000,0.0000,2.0000,10308.0000
