STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,DAY_WEEK,ST_CASE,MILEPT,CITY
1,111,6,29,8,28,2,10418,290,0
1,73,6,20,20,5,7,10419,0,350
1,125,6,16,21,50,3,10420,1375,0
1,73,6,4,0,23,5,10421,60,330
1,7,6,21,17,45,1,10422,0,0
1,13,7,3,15,52,6,10423,0,0
1,89,7,2,11,5,5,10424,0,0
1,43,7,2,21,31,5,10425,0,0
1,119,7,2,11,30,5,10426,0,0
1,97,7,4,22,15,7,10427,157,2713
1,121,7,2,11,40,5,10428,1728,0
1,27,7,3,20,30,6,10429,0,0
1,37,7,2,23,0,5,10430,0,0
1,3,7,4,13,19,7,10431,0,0
1,95,7,10,19,50,6,10432,0,0
1,125,7,13,7,30,2,10433,399,0
1,133,7,3,21,0,6,10434,0,0
1,71,7,11,14,40,7,10435,359,0
1,3,7,4,21,0,7,10436,0,0
1,5,7,10,6,15,6,10437,2242,0
1,3,7,10,6,28,6,10438,362,0
1,89,7,15,23,49,4,10439,99999,1730
1,107,7,5,21,50,1,10440,0,0
1,107,7,17,18,45,6,10441,0,0
1,73,7,2,15,55,5,10442,0,350
1,13,7,18,17,10,7,10443,0,0
1,71,7,16,15,15,5,10444,453,0
1,117,7,6,20,57,2,10445,219,0
1,95,7,8,23,30,4,10446,0,0
1,43,7,11,4,30,7,10447,181,0
1,73,7,17,16,51,6,10448,99999,330
1,81,7,17,6,45,6,10449,1256,0
1,57,7,15,20,30,4,10450,0,0
1,89,7,19,14,35,1,10451,99999,1730
1,133,7,25,11,55,7,10452,0,0
1,33,7,17,12,50,6,10453,0,0
1,73,7,18,13,11,7,10454,0,350
1,73,7,18,21,40,7,10455,0,350
1,73,7,20,8,45,2,10456,0,350
1,121,7,20,11,50,2,10457,591,0
1,79,7,18,0,5,7,10458,0,0
1,127,7,17,22,55,6,10459,0,0
1,9,7,22,16,35,4,10460,74,0
1,73,7,24,15,0,6,10461,1040,0
1,95,7,25,2,30,7,10462,0,0
1,3,7,25,14,35,7,10463,408,0
1,103,7,26,2,20,1,10464,0,0
