STATE,ST_CASE,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,LATITUDE,LONGITUD
1,10503,31,8,2012,6,16,30,33,-86
1,10504,31,8,2012,6,17,25,32,-87
1,10505,31,8,2012,6,23,35,33,-88
1,10506,31,8,2012,6,23,15,32,-86
1,10507,17,8,2012,6,3,17,34,-87
1,10508,1,9,2012,7,18,37,32,-87
1,10509,3,9,2012,2,5,0,34,-87
1,10510,3,9,2012,2,9,50,34,-87
1,10511,3,9,2012,2,10,52,35,-87
1,10512,3,9,2012,2,18,50,31,-88
1,10513,4,9,2012,3,7,0,33,-87
1,10514,7,9,2012,6,16,0,33,-86
1,10515,10,9,2012,2,15,6,34,-87
1,10516,10,9,2012,2,20,47,33,-86
1,10517,28,6,2012,5,12,40,32,-86
1,10518,25,8,2012,7,2,10,32,-86
1,10519,25,8,2012,7,7,20,35,-87
1,10520,1,9,2012,7,22,55,34,-85
1,10521,7,9,2012,6,23,17,33,-88
1,10522,8,9,2012,7,15,30,35,-87
1,10523,9,9,2012,1,18,5,30,-88
1,10524,9,9,2012,1,21,0,33,-86
1,10525,9,9,2012,1,16,25,32,-86
1,10526,9,9,2012,1,1,5,34,-87
1,10527,10,9,2012,2,22,30,32,-87
1,10528,10,9,2012,2,21,0,31,-88
1,10529,13,9,2012,5,14,17,35,-87
1,10530,14,9,2012,6,4,30,34,-88
1,10531,14,9,2012,6,18,35,33,-88
1,10532,14,4,2012,7,18,30,34,-88
1,10533,8,5,2012,3,11,19,34,-87
1,10534,23,7,2012,2,21,0,33,-88
1,10535,24,8,2012,6,23,53,33,-88
1,10536,15,9,2012,7,17,42,34,-86
1,10537,15,9,2012,7,11,15,35,-88
1,10538,15,9,2012,7,14,24,32,-85
1,10539,16,9,2012,1,10,20,30,-88
1,10540,16,9,2012,1,2,40,30,-88
1,10541,16,9,2012,1,3,21,32,-86
1,10542,17,9,2012,2,16,5,33,-87
1,10543,18,9,2012,3,10,15,33,-86
1,10544,19,9,2012,4,7,25,34,-86
1,10545,20,9,2012,5,19,45,31,-88
1,10546,21,9,2012,6,16,46,35,-87
1,10547,21,9,2012,6,2,40,32,-87
1,10548,10,8,2012,6,7,48,34,-86
1,10549,7,9,2012,6,14,50,31,-88
1,10550,25,9,2012,3,19,4,33,-85
1,10551,2,10,2012,3,14,52,34,-86
1,10552,3,10,2012,4,4,50,34,-87
