STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,ST_CASE,CITY
1,117,7,29,10,0,10467,0
1,117,7,30,1,25,10468,0
1,3,7,23,23,19,10469,1210
1,125,7,31,14,13,10470,3050
1,47,7,26,18,20,10471,0
1,87,7,20,21,40,10472,0
1,39,7,31,20,30,10473,0
1,89,7,26,7,55,10474,1730
1,13,7,31,16,25,10475,0
1,83,7,10,21,19,10476,120
1,115,7,31,12,20,10477,0
1,17,7,23,19,6,10478,0
1,33,7,23,18,25,10479,3060
1,117,7,30,19,10,10480,0
1,49,7,25,15,20,10481,0
1,119,7,13,4,0,10482,0
1,113,7,24,0,11,10483,2440
1,89,7,13,1,23,10484,1730
1,69,6,10,8,8,10485,930
1,119,6,6,22,46,10486,820
1,73,6,14,11,18,10487,350
1,71,8,2,7,39,10488,0
1,1,8,3,15,15,10489,0
1,21,8,4,6,10,10490,0
1,79,8,1,20,35,10491,0
1,127,8,6,9,0,10492,0
1,21,8,4,13,0,10493,0
1,89,8,6,11,10,10494,1730
1,49,8,2,7,45,10495,0
1,55,8,5,20,50,10496,0
1,99,8,1,23,55,10497,0
1,113,8,9,16,40,10498,0
1,125,8,9,17,15,10499,0
1,125,8,2,15,45,10500,3050
1,49,8,12,14,0,10501,0
1,121,8,5,4,35,10502,0
1,115,8,6,14,55,10503,0
1,15,8,7,4,0,10504,0
1,73,8,6,19,0,10505,0
1,31,8,6,21,30,10506,0
1,31,8,7,4,30,10507,0
1,17,8,11,14,40,10508,0
1,107,8,9,16,10,10509,0
1,89,8,11,15,30,10510,0
1,95,8,15,15,45,10511,0
1,81,8,14,20,55,10512,0
1,37,8,11,15,48,10513,0
1,117,8,9,11,40,10514,0
1,3,8,4,22,30,10515,0
1,97,8,5,16,40,10516,0
1,97,8,7,2,0,10517,0
1,39,8,7,17,12,10518,2350
1,39,8,11,19,15,10519,0
1,97,8,12,1,44,10520,0
1,115,8,13,22,15,10521,0
1,9,8,14,20,10,10522,0
1,43,8,14,12,0,10523,0
1,29,8,16,13,20,10524,0
1,33,8,13,12,25,10525,0
1,83,8,17,22,55,10526,0
1,85,8,20,8,15,10527,0
1,13,8,23,2,5,10528,0
1,43,8,14,17,10,10529,0
1,79,8,19,16,45,10530,0
1,73,8,20,19,28,10531,0
1,51,8,3,10,30,10532,0
1,119,8,20,12,14,10533,3320
1,57,8,14,10,45,10534,0
1,33,8,17,15,0,10535,0
1,43,8,13,18,55,10536,0
1,31,8,22,16,0,10537,0
1,51,8,29,8,45,10538,0
1,65,8,4,9,20,10539,0
1,39,8,6,3,32,10540,1190
1,91,8,27,22,45,10541,0
1,107,8,15,0,10,10542,0
1,87,8,27,21,10,10543,0
1,89,8,28,21,30,10544,2225
1,127,8,19,21,55,10545,0
1,9,8,27,18,45,10546,0
1,127,8,27,11,20,10547,0
1,55,8,21,15,14,10548,1280
1,59,8,27,15,15,10549,0
1,43,8,15,19,22,10550,830
1,93,8,16,9,58,10551,3300
1,49,8,31,15,20,10552,0
1,43,8,17,9,18,10553,0
1,125,8,28,6,0,10554,0
1,15,8,12,6,45,10555,0
1,109,8,21,5,0,10556,0
1,45,8,24,23,0,10557,0
1,127,8,29,15,0,10558,1780
1,103,8,12,23,40,10559,0
1,115,8,14,13,45,10560,0
1,69,8,18,22,0,10561,0
1,3,8,28,14,15,10562,0
1,97,8,30,23,0,10563,0
1,125,8,15,13,7,10564,3112
1,97,8,14,2,26,10565,2100
1,101,8,7,19,0,10566,2130
1,103,8,21,8,34,10567,890
1,45,8,11,17,20,10568,2380
1,83,8,7,9,2,10569,170
1,81,8,27,22,55,10570,200
1,69,8,4,13,20,10571,930
1,73,8,2,22,20,10572,350
1,109,8,2,23,35,10573,3040
1,23,8,22,10,0,10574,0
1,123,5,21,10,35,10575,60
1,43,6,15,15,0,10576,830
1,73,6,28,6,20,10577,350
1,97,6,20,19,30,10578,2550
1,131,6,13,15,30,10579,0
1,29,6,26,22,40,10580,1620
1,77,6,18,0,46,10581,0
1,45,7,31,16,50,10582,0
1,73,7,1,0,15,10583,350
1,89,7,1,4,30,10584,1730
1,39,7,2,17,4,10585,90
1,73,7,25,2,50,10586,2170
1,73,7,11,15,17,10587,1315
1,39,7,21,13,50,10588,90
1,89,7,23,22,44,10589,1730
1,121,7,16,20,40,10590,0
1,113,9,3,11,45,10591,0
1,13,9,3,20,35,10592,0
