STATE,ST_CASE,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,LATITUDE,LONGITUD
1,10263,50,14,5,2013,3,17,14,34,-86
1,10264,0,14,5,2013,3,13,40,35,-88
1,10265,0,15,5,2013,4,17,15,33,-86
1,10266,0,17,5,2013,6,20,30,33,-88
1,10267,830,9,5,2013,5,17,15,34,-87
1,10268,2910,16,5,2013,5,14,20,33,-86
1,10269,0,15,5,2013,4,16,15,33,-88
1,10270,930,20,5,2013,2,22,40,31,-85
1,10271,3050,18,5,2013,7,15,10,33,-88
1,10272,0,20,5,2013,2,18,40,31,-88
1,10273,0,21,5,2013,3,9,50,31,-88
1,10274,0,23,5,2013,5,19,33,33,-85
1,10275,2100,24,5,2013,6,20,41,31,-88
1,10276,1730,24,5,2013,6,18,25,35,-86
1,10277,0,24,5,2013,6,4,11,35,-87
1,10278,0,24,5,2013,6,4,0,34,-86
1,10279,0,25,5,2013,7,19,15,34,-85
1,10280,0,25,5,2013,7,14,49,34,-87
1,10281,1730,28,5,2013,3,17,52,35,-87
1,10282,47,31,5,2013,6,7,24,33,-87
1,10283,0,1,6,2013,7,3,0,34,-88
1,10284,0,1,6,2013,7,13,51,33,-86
1,10285,0,2,6,2013,1,16,55,33,-86
1,10286,2720,23,5,2013,5,22,36,35,-86
1,10287,350,30,5,2013,5,13,2,34,-87
1,10288,0,28,5,2013,3,9,0,31,-88
1,10289,0,30,5,2013,5,11,40,33,-85
1,10290,1780,31,5,2013,6,8,10,34,-87
1,10291,0,31,5,2013,6,13,30,33,-88
1,10292,2100,15,6,2013,7,21,12,31,-88
1,10293,0,1,6,2013,7,6,45,32,-88
1,10294,0,1,6,2013,7,21,10,33,-88
1,10295,0,2,6,2013,1,5,25,32,-87
1,10296,930,3,6,2013,2,13,47,31,-85
1,10297,3050,3,6,2013,2,18,0,33,-88
1,10298,0,2,6,2013,1,0,15,30,-88
1,10299,3220,5,6,2013,4,0,19,31,-85
1,10300,1730,6,6,2013,5,20,40,35,-87
1,10301,0,7,6,2013,6,15,50,35,-86
1,10302,0,8,6,2013,7,0,10,31,-88
1,10303,0,8,6,2013,7,15,14,33,-86
1,10304,0,8,6,2013,7,23,0,31,-85
1,10305,0,12,6,2013,4,12,40,31,-88
1,10306,0,12,6,2013,4,17,0,30,-88
1,10307,0,12,6,2013,4,16,15,34,-87
1,10308,0,13,6,2013,5,15,35,32,-86
1,10309,0,14,6,2013,6,5,0,32,-86
1,10310,1130,14,6,2013,6,11,18,34,-87
1,10311,0,14,6,2013,6,16,50,35,-87
1,10312,1605,16,6,2013,1,2,0,32,-87
1,10313,2550,16,6,2013,1,22,19,31,-88
1,10314,0,10,6,2013,2,11,30,34,-85
1,10315,2130,8,6,2013,7,2,35,32,-86
1,10316,1493,13,6,2013,5,2,12,30,-88
1,10317,2850,20,6,2013,5,20,6,35,-86
1,10318,2130,9,6,2013,1,21,15,32,-86
1,10319,0,9,6,2013,1,15,10,32,-85
1,10320,350,12,5,2013,1,10,51,34,-87
1,10321,0,10,6,2013,2,17,15,33,-86
1,10322,0,12,6,2013,4,9,23,32,-86
1,10323,0,14,6,2013,6,16,25,32,-88
1,10324,2100,15,6,2013,7,16,16,31,-88
1,10325,0,15,6,2013,7,22,45,34,-85
1,10326,0,16,6,2013,1,0,15,32,-87
1,10327,0,16,6,2013,1,5,45,33,-86
1,10328,0,16,6,2013,1,3,55,33,-88
1,10329,1716,16,6,2013,1,14,26,33,-87
1,10330,0,22,6,2013,7,17,20,33,-86
1,10331,0,23,6,2013,1,2,0,34,-87
1,10332,0,13,6,2013,5,14,0,34,-87
1,10333,1850,2,6,2013,1,0,41,33,-87
1,10334,350,8,6,2013,7,4,50,33,-87
1,10335,1790,26,4,2013,6,19,56,33,-87
1,10336,1590,23,5,2013,5,17,57,34,-87
1,10337,1490,29,6,2013,7,5,45,34,-88
1,10338,1632,1,7,2013,2,21,45,35,-86
1,10339,0,10,5,2013,6,99,99,34,-86
1,10340,1716,17,5,2013,6,21,31,33,-87
1,10341,2260,20,5,2013,2,20,50,33,-88
1,10342,1280,30,5,2013,5,16,54,34,-86
1,10343,1680,10,6,2013,2,17,50,34,-87
1,10344,0,13,6,2013,5,13,48,31,-87
1,10345,0,14,6,2013,6,1,30,35,-88
1,10346,1050,15,6,2013,7,20,36,32,-85
